# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
0,4900,4,330,2775,0.8889820136,0.7079017765
0,5000,4,336.8,2868,0.9144969754,0.7079017765
1,0,7,0,0,0.1,0.7698770666
1,100,7,4.3,15,0.1380452022,0.7698770666
1,200,7,9.4,39,0.2195603989,0.7698770666
1,300,7,15.2,65,0.2558168954,0.7698770666
1,400,7,21.6,87,0.2844887465,0.7698770666
1,500,7,29.7,122,0.3348912018,0.7698770666
1,600,7,36.3,169,0.4180419426,0.7698770666
1,700,7,43.7,207,0.3864077851,0.7698770666
1,800,7,50.3,246,0.4111035713,0.7698770666
1,900,7,57.6,289,0.4307442953,0.7698770666
1,1000,7,64.3,325,0.4273458979,0.7698770666
