# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Actual Probability
2,1800,9,167.5,1782,0.9321209901
2,1900,9,176.9,1882,0.9321209901
2,2000,9,185.8,1982,0.9321209901
2,2100,9,195.4,2082,0.9321209901
2,2200,9,205,2182,0.9321209901
2,2300,9,214.2,2282,0.9321209901
2,2400,9,223.1,2382,0.9321209901
2,2500,9,232.7,2482,0.9321209901
2,2600,9,241.9,2582,0.9321209901
2,2700,9,251.3,2682,0.9321209901
2,2800,9,260.7,2782,0.9321209901
2,2900,9,270.1,2882,0.9321209901
2,3000,9,279.1,2982,0.9321209901
2,3100,9,288.7,3082,0.9321209901
2,3200,9,298,3182,0.9321209901
2,3300,9,307.4,3282,0.9321209901
2,3400,9,316.8,3382,0.9321209901
2,3500,9,326.3,3482,0.9321209901
2,3600,9,335.9,3582,0.9321209901
2,3700,9,345.1,3682,0.9321209901
2,3800,9,354.2,3782,0.9321209901
2,3900,9,363.8,3882,0.9321209901
2,4000,9,373.2,3982,0.9321209901
2,4100,9,382.5,4082,0.9321209901
2,4200,9,392.3,4182,0.9321209901
2,4300,9,401.7,4282,0.9321209901
2,4400,9,411.2,4382,0.9321209901
2,4500,9,420.3,4482,0.9321209901
2,4600,9,429.8,4582,0.9321209901
2,4700,9,438.8,4682,0.9321209901
2,4800,9,448.2,4782,0.9321209901
2,4900,9,457.4,4882,0.9321209901
2,5000,9,467,4982,0.9321209901
3,0,7,0,0,0.9555306401
3,100,7,8.9,78,0.9555306401
3,200,7,18.2,178,0.9555306401
3,300,7,27.8,278,0.9555306401
3,400,7,37.4,378,0.9555306401
3,500,7,46.6,478,0.9555306401
3,600,7,56.4,578,0.9555306401
3,700,7,66.2,678,0.9555306401
3,800,7,75.6,778,0.9555306401
3,900,7,85.2,878,0.9555306401
3,1000,7,94.8,978,0.9555306401
3,1100,7,104.4,1078,0.9555306401
3,1200,7,114.3,1178,0.9555306401
3,1300,7,123.6,1278,0.9555306401
3,1400,7,133.4,1378,0.9555306401
3,1500,7,143.1,1478,0.9555306401
3,1600,7,152.9,1578,0.9555306401
3,1700,7,162.4,1678,0.9555306401
3,1800,7,171.9,1778,0.9555306401
3,1900,7,181.9,1878,0.9555306401
3,2000,7,191.5,1978,0.9555306401
3,2100,7,201.4,2078,0.9555306401
3,2200,7,211.1,2178,0.9555306401
3,2300,7,220.2,2278,0.9555306401
3,2400,7,229.7,2378,0.9555306401
3,2500,7,239.6,2478,0.9555306401
3,2600,7,249.2,2578,0.9555306401
3,2700,7,259,2678,0.9555306401
3,2800,7,268.8,2778,0.9555306401
3,2900,7,277.9,2878,0.9555306401
3,3000,7,287.1,2978,0.9555306401
3,3100,7,296.6,3078,0.9555306401
