# Name, Student Number
# Nikolas Maier, 500461990
# Oluwatomilayo Adegbite, 500569283
Gambler #,Round #,Optimal Arm,Average reward,Times optimal action picked,Probability of Picking Optimal,Actual Probability
2,0,1,0,0,0.1,0.8852677538
2,100,1,6.1,8,0.1101202117,0.8852677538
2,200,1,13.3,31,0.2107602788,0.8852677538
2,300,1,20.6,58,0.2344739055,0.8852677538
2,400,1,28.3,74,0.185768331,0.8852677538
2,500,1,35.8,90,0.162168258,0.8852677538
2,600,1,43.3,110,0.2096185358,0.8852677538
2,700,1,50.7,125,0.1628479413,0.8852677538
2,800,1,58.1,154,0.2475996664,0.8852677538
2,900,1,65.9,174,0.2232526018,0.8852677538
2,1000,1,73,197,0.2284736722,0.8852677538
2,1100,1,80.4,211,0.1832601947,0.8852677538
2,1200,1,88.2,236,0.2328312387,0.8852677538
2,1300,1,94.9,253,0.1968693101,0.8852677538
2,1400,1,102.6,277,0.2371700222,0.8852677538
2,1500,1,110.1,311,0.3205691807,0.8852677538
2,1600,1,117.3,334,0.2690533762,0.8852677538
2,1700,1,125,367,0.2890659013,0.8852677538
2,1800,1,132.4,393,0.2630532225,0.8852677538
2,1900,1,140.3,419,0.2740291704,0.8852677538
2,2000,1,148.6,452,0.3242215924,0.8852677538
2,2100,1,156.5,483,0.3342727311,0.8852677538
2,2200,1,164.4,515,0.3137130326,0.8852677538
2,2300,1,171.3,541,0.2733080867,0.8852677538
2,2400,1,178.9,569,0.2756306951,0.8852677538
2,2500,1,187.1,589,0.2172523312,0.8852677538
2,2600,1,195,614,0.2437439319,0.8852677538
2,2700,1,202.2,633,0.1818589382,0.8852677538
2,2800,1,209.4,657,0.2194659423,0.8852677538
2,2900,1,217.1,672,0.1743858325,0.8852677538
2,3000,1,224.8,695,0.2062708321,0.8852677538
2,3100,1,231.8,717,0.2223134139,0.8852677538
2,3200,1,239.1,736,0.1993359645,0.8852677538
2,3300,1,246.9,757,0.1972671984,0.8852677538
2,3400,1,254.8,787,0.2405940633,0.8852677538
2,3500,1,261.6,805,0.2073996033,0.8852677538
2,3600,1,269.7,826,0.2013820745,0.8852677538
2,3700,1,277,843,0.1723591741,0.8852677538
2,3800,1,285,858,0.1735521952,0.8852677538
2,3900,1,292.1,872,0.1620344272,0.8852677538
2,4000,1,299.8,881,0.1366531201,0.8852677538
2,4100,1,306.8,892,0.1171290778,0.8852677538
2,4200,1,314.6,909,0.1467015353,0.8852677538
2,4300,1,322.5,922,0.1437269195,0.8852677538
2,4400,1,330.5,934,0.1300059215,0.8852677538
2,4500,1,338.1,946,0.1337362143,0.8852677538
2,4600,1,346.2,962,0.1526919915,0.8852677538
2,4700,1,353.6,969,0.1192122477,0.8852677538
2,4800,1,360.2,974,0.08598663569,0.8852677538
2,4900,1,367.8,983,0.1087008632,0.8852677538
2,5000,1,375.2,995,0.1225061125,0.8852677538
3,0,9,0,0,0.1,0.8581440005
3,100,9,5,16,0.1682840478,0.8581440005
3,200,9,9.6,28,0.1670506432,0.8581440005
3,300,9,14,44,0.1711837866,0.8581440005
3,400,9,19.4,66,0.2499248204,0.8581440005
3,500,9,26.2,88,0.2461148177,0.8581440005
3,600,9,31.9,110,0.241147943,0.8581440005
3,700,9,37.2,120,0.1758827248,0.8581440005
3,800,9,42.9,133,0.1833338109,0.8581440005
3,900,9,48.5,149,0.1784923115,0.8581440005
3,1000,9,54.2,169,0.21263873,0.8581440005
3,1100,9,60.3,188,0.2144942358,0.8581440005
3,1200,9,66,211,0.2266227887,0.8581440005
3,1300,9,72.4,248,0.327336834,0.8581440005
3,1400,9,77.7,282,0.3158870936,0.8581440005
3,1500,9,83.8,311,0.320683056,0.8581440005
3,1600,9,89.9,346,0.3331742676,0.8581440005
3,1700,9,96.1,374,0.2877742574,0.8581440005
3,1800,9,101.4,407,0.2758443777,0.8581440005
3,1900,9,106.9,427,0.2330682721,0.8581440005
3,2000,9,111.9,449,0.2365841466,0.8581440005
3,2100,9,117,468,0.2270398417,0.8581440005
3,2200,9,123.8,503,0.3336715688,0.8581440005
3,2300,9,129.8,536,0.3412531801,0.8581440005
3,2400,9,134.7,563,0.3100436835,0.8581440005
3,2500,9,140.1,596,0.3227094543,0.8581440005
3,2600,9,147,637,0.377680722,0.8581440005
3,2700,9,153.3,681,0.4210231598,0.8581440005
3,2800,9,158.6,721,0.3699297401,0.8581440005
3,2900,9,163.7,748,0.3149682195,0.8581440005
3,3000,9,171.1,794,0.4187065283,0.8581440005
3,3100,9,176.9,826,0.3536525939,0.8581440005
3,3200,9,183.1,847,0.2706104515,0.8581440005
3,3300,9,189.5,886,0.3534472967,0.8581440005
3,3400,9,196.1,916,0.2970769171,0.8581440005
3,3500,9,202.4,934,0.2496443106,0.8581440005
3,3600,9,207.9,962,0.2457645711,0.8581440005
3,3700,9,213.8,982,0.2236771266,0.8581440005
3,3800,9,219.3,1000,0.2313123237,0.8581440005
3,3900,9,225.8,1016,0.216123451,0.8581440005
3,4000,9,232.4,1035,0.2200665495,0.8581440005
3,4100,9,238.5,1064,0.2737444979,0.8581440005
3,4200,9,244.6,1085,0.2406327272,0.8581440005
3,4300,9,250.6,1101,0.204420106,0.8581440005
3,4400,9,257.4,1132,0.2900826119,0.8581440005
3,4500,9,263.8,1163,0.2962995601,0.8581440005
3,4600,9,270.5,1191,0.2791022621,0.8581440005
3,4700,9,276.6,1216,0.2677728547,0.8581440005
3,4800,9,283.8,1251,0.354240677,0.8581440005
3,4900,9,290,1287,0.3645591672,0.8581440005
3,5000,9,295.3,1320,0.3290106376,0.8581440005
4,0,8,0,0,0.1,0.9226923887
4,100,8,3.7,13,0.1436944343,0.9226923887
4,200,8,8.5,26,0.1641730404,0.9226923887
4,300,8,13.9,43,0.2078030855,0.9226923887
4,400,8,18.9,66,0.2349866594,0.9226923887
4,500,8,24.3,88,0.2708343084,0.9226923887
4,600,8,30.7,123,0.3178034124,0.9226923887
4,700,8,36.4,153,0.3295450998,0.9226923887
4,800,8,42.7,188,0.3244787662,0.9226923887
4,900,8,49.4,217,0.3140151502,0.9226923887
4,1000,8,56.3,251,0.3230682104,0.9226923887
4,1100,8,63.1,287,0.3682250998,0.9226923887
4,1200,8,70.5,336,0.4427447283,0.9226923887
4,1300,8,78.4,382,0.4597486454,0.9226923887
4,1400,8,86.5,428,0.4481774684,0.9226923887
4,1500,8,93.5,476,0.4678095286,0.9226923887
4,1600,8,100.5,517,0.4357267035,0.9226923887
4,1700,8,106.9,562,0.4282679962,0.9226923887
4,1800,8,114,606,0.430731063,0.9226923887
4,1900,8,121.2,652,0.4646966717,0.9226923887
4,2000,8,128.1,702,0.4628666133,0.9226923887
4,2100,8,134.8,750,0.4521597671,0.9226923887
4,2200,8,140.8,790,0.4439947213,0.9226923887
4,2300,8,147.7,832,0.4185718185,0.9226923887
4,2400,8,154.5,859,0.3291673922,0.9226923887
4,2500,8,161.7,896,0.3499764689,0.9226923887
4,2600,8,168.8,929,0.3552760766,0.9226923887
4,2700,8,176.3,971,0.3975168364,0.9226923887
4,2800,8,182.9,1005,0.3701267961,0.9226923887
4,2900,8,189.5,1037,0.3579656925,0.9226923887
4,3000,8,197.1,1077,0.398066141,0.9226923887
4,3100,8,202.4,1113,0.3584088153,0.9226923887
4,3200,8,209.3,1157,0.4065556076,0.9226923887
4,3300,8,215.3,1193,0.3951197392,0.9226923887
4,3400,8,221.8,1234,0.3952009578,0.9226923887
4,3500,8,228.5,1287,0.4885026924,0.9226923887
4,3600,8,235.2,1332,0.4678274962,0.9226923887
4,3700,8,241.9,1370,0.4273734025,0.9226923887
4,3800,8,248.4,1426,0.4988274923,0.9226923887
4,3900,8,255,1469,0.4489202273,0.9226923887
4,4000,8,261.4,1515,0.4586147575,0.9226923887
4,4100,8,268,1565,0.4913583171,0.9226923887
4,4200,8,274.3,1609,0.4565467635,0.9226923887
4,4300,8,281.4,1653,0.4243997615,0.9226923887
4,4400,8,289.5,1698,0.412129513,0.9226923887
4,4500,8,295.6,1718,0.2698155788,0.9226923887
4,4600,8,301.7,1735,0.2190304825,0.9226923887
4,4700,8,307.3,1749,0.1885063699,0.9226923887
4,4800,8,313.7,1775,0.2377025312,0.9226923887
4,4900,8,320.1,1796,0.2280733636,0.9226923887
4,5000,8,325.9,1821,0.266463735,0.9226923887
5,0,1,0,0,0.1,0.9115619089
5,100,1,6.4,9,0.1213826309,0.9115619089
5,200,1,12.6,28,0.1959617263,0.9115619089
5,300,1,19.3,46,0.1962883841,0.9115619089
5,400,1,25.9,63,0.1973863181,0.9115619089
5,500,1,31.7,90,0.2612669444,0.9115619089
5,600,1,37.7,129,0.291139859,0.9115619089
5,700,1,44,153,0.2818649074,0.9115619089
5,800,1,50.9,175,0.2529136213,0.9115619089
5,900,1,57.6,196,0.2153670025,0.9115619089
5,1000,1,63,216,0.2225112984,0.9115619089
5,1100,1,69.1,240,0.2643951599,0.9115619089
5,1200,1,75.6,263,0.2352763519,0.9115619089
5,1300,1,81.9,283,0.2386370787,0.9115619089
5,1400,1,88.3,311,0.2901618527,0.9115619089
5,1500,1,96.5,339,0.3006279389,0.9115619089
5,1600,1,101.4,367,0.3061660376,0.9115619089
5,1700,1,108.1,395,0.3079400563,0.9115619089
5,1800,1,115,416,0.2343213951,0.9115619089
5,1900,1,120.5,437,0.2448598331,0.9115619089
5,2000,1,128.4,460,0.2438034597,0.9115619089
5,2100,1,135.8,479,0.2304198955,0.9115619089
5,2200,1,142.6,504,0.2621244034,0.9115619089
5,2300,1,149.7,539,0.3335016241,0.9115619089
5,2400,1,156.2,562,0.2939213371,0.9115619089
5,2500,1,163.5,591,0.3185335824,0.9115619089
5,2600,1,170.2,618,0.2910376143,0.9115619089
5,2700,1,176.9,642,0.2776198775,0.9115619089
5,2800,1,183.4,667,0.2612864665,0.9115619089
5,2900,1,190.7,694,0.2498578585,0.9115619089
5,3000,1,196.2,716,0.2279309962,0.9115619089
5,3100,1,202.2,743,0.2463024163,0.9115619089
5,3200,1,208.3,770,0.2683845315,0.9115619089
5,3300,1,215.2,804,0.344813183,0.9115619089
5,3400,1,222.5,838,0.3388239632,0.9115619089
5,3500,1,229.3,871,0.3273882057,0.9115619089
5,3600,1,235.9,895,0.2660921703,0.9115619089
5,3700,1,242.1,913,0.2301972104,0.9115619089
5,3800,1,248.3,940,0.2554121762,0.9115619089
5,3900,1,254.8,965,0.2765103252,0.9115619089
5,4000,1,260,981,0.223028569,0.9115619089
5,4100,1,266.7,1004,0.2371777406,0.9115619089
5,4200,1,273.6,1030,0.2707245341,0.9115619089
5,4300,1,281.4,1061,0.2962049415,0.9115619089
5,4400,1,287,1092,0.3099762258,0.9115619089
5,4500,1,294.4,1134,0.4057670919,0.9115619089
5,4600,1,301.2,1161,0.3335636969,0.9115619089
5,4700,1,309,1196,0.3219335497,0.9115619089
5,4800,1,315,1210,0.230782506,0.9115619089
5,4900,1,321.9,1227,0.1939198572,0.9115619089
5,5000,1,328.6,1250,0.2127071336,0.9115619089
6,0,1,0,0,0.1,0.9997568719
6,100,1,5,14,0.156883583,0.9997568719
6,200,1,10.8,31,0.1922373951,0.9997568719
6,300,1,15.8,56,0.2554468784,0.9997568719
6,400,1,22.1,87,0.3112361415,0.9997568719
6,500,1,29.7,136,0.4395421675,0.9997568719
6,600,1,37.2,183,0.4920874021,0.9997568719
6,700,1,45.6,246,0.5980621858,0.9997568719
6,800,1,53.8,306,0.6165559614,0.9997568719
6,900,1,62.2,380,0.7169880458,0.9997568719
6,1000,1,70.6,448,0.7229348539,0.9997568719
6,1100,1,79.1,515,0.699130649,0.9997568719
6,1200,1,88.4,592,0.7496473987,0.9997568719
6,1300,1,96.9,656,0.6840460693,0.9997568719
6,1400,1,105.7,732,0.7435004421,0.9997568719
6,1500,1,115.1,805,0.7298266505,0.9997568719
6,1600,1,123.8,881,0.7639137158,0.9997568719
6,1700,1,133.3,966,0.833769082,0.9997568719
6,1800,1,142,1040,0.7809275797,0.9997568719
6,1900,1,150.7,1117,0.7721513022,0.9997568719
6,2000,1,159.5,1189,0.7319474561,0.9997568719
6,2100,1,167.8,1256,0.7029785408,0.9997568719
6,2200,1,176.6,1332,0.7463587531,0.9997568719
6,2300,1,185.6,1406,0.7560332482,0.9997568719
6,2400,1,194,1479,0.7594226003,0.9997568719
6,2500,1,203.3,1565,0.8339342258,0.9997568719
6,2600,1,212.8,1648,0.8334411618,0.9997568719
